AzInput,ElInput,Time
180.000010,180.000000,0.000000
180.771638,180.000000,0.020473
181.541360,180.000000,0.040926
182.307901,180.000000,0.061356
183.069651,180.000000,0.081748
183.828674,180.000000,0.102189
184.582528,180.000000,0.122645
185.329582,180.000000,0.143101
186.065914,180.000000,0.163478
186.795221,180.000000,0.183910
187.514497,180.000000,0.204344
188.223155,180.000000,0.224792
188.918195,180.000000,0.245200
189.600919,180.000000,0.265633
190.269436,180.000000,0.286068
190.922662,180.000000,0.306501
191.559634,180.000000,0.326933
192.179501,180.000000,0.347365
192.781363,180.000000,0.367800
193.364202,180.000000,0.388232
193.927098,180.000000,0.408660
194.468410,180.000000,0.429052
194.989303,180.000000,0.449482
195.488053,180.000000,0.469916
195.963798,180.000000,0.490348
196.415755,180.000000,0.510775
196.843391,180.000000,0.531203
197.246193,180.000000,0.551638
197.623336,180.000000,0.572069
197.974367,180.000000,0.592501
198.298148,180.000000,0.612894
198.595464,180.000000,0.633329
198.865226,180.000000,0.653765
199.106932,180.000000,0.674197
199.320353,180.000000,0.694633
199.505000,180.000000,0.715056
199.660693,180.000000,0.735472
199.787352,180.000000,0.755902
199.884668,180.000000,0.776332
199.952494,180.000000,0.796761
199.990737,180.000000,0.817187
199.999351,180.000000,0.837606
199.978309,180.000000,0.858044
199.927557,180.000000,0.878501
199.847557,180.000000,0.898877
199.738724,180.000000,0.919180
199.601218,180.000000,0.939452
199.434104,180.000000,0.959835
199.239260,180.000000,0.980126
199.015635,180.000000,1.000471
198.764195,180.000000,1.020805
198.484916,180.000000,1.041158
198.177215,180.000000,1.061589
197.842653,180.000000,1.082014
197.481787,180.000000,1.102432
197.094829,180.000000,1.122859
196.682429,180.000000,1.143292
196.245524,180.000000,1.163714
195.784382,180.000000,1.184143
195.300969,180.000000,1.204525
194.793606,180.000000,1.224961
194.264566,180.000000,1.245387
193.714215,180.000000,1.265819
193.143712,180.000000,1.286245
192.553635,180.000000,1.306673
191.944846,180.000000,1.327105
191.318449,180.000000,1.347534
190.675275,180.000000,1.367962
190.016600,180.000000,1.388380
189.342352,180.000000,1.408821
188.655526,180.000000,1.429223
187.955071,180.000000,1.449650
187.243401,180.000000,1.470060
186.520966,180.000000,1.490471
185.788368,180.000000,1.510897
185.047113,180.000000,1.531325
184.298344,180.000000,1.551753
183.543072,180.000000,1.572185
182.784145,180.000000,1.592574
182.021699,180.000000,1.612948
181.254540,180.000000,1.633367
180.485271,180.000000,1.653793
179.715245,180.000000,1.674220
178.945448,180.000000,1.694653
178.177487,180.000000,1.715077
177.412166,180.000000,1.735504
176.650555,180.000000,1.755934
175.893789,180.000000,1.776367
175.142858,180.000000,1.796808
174.399754,180.000000,1.817231
173.664793,180.000000,1.837659
172.939422,180.000000,1.858080
172.225243,180.000000,1.878481
171.521750,180.000000,1.898906
170.830756,180.000000,1.919333
170.153591,180.000000,1.939752
169.491029,180.000000,1.960171
168.845057,180.000000,1.980557
168.214903,180.000000,2.000964
167.601429,180.000000,2.021397
167.006592,180.000000,2.041822
166.430774,180.000000,2.062255
165.875125,180.000000,2.082686
165.340642,180.000000,2.103109
164.828408,180.000000,2.123511
164.337880,180.000000,2.143943
163.870739,180.000000,2.164368
163.427022,180.000000,2.184817
163.008478,180.000000,2.205237
162.615506,180.000000,2.225636
162.248523,180.000000,2.246018
161.907461,180.000000,2.266417
161.593126,180.000000,2.286818
161.306118,180.000000,2.307211
161.046734,180.000000,2.327603
160.815054,180.000000,2.348023
160.611692,180.000000,2.368454
160.437068,180.000000,2.388886
160.291478,180.000000,2.409316
160.175105,180.000000,2.429747
160.088033,180.000000,2.450206
160.030655,180.000000,2.470623
160.002839,180.000000,2.491061
160.004691,180.000000,2.511491
160.036162,180.000000,2.531907
160.097201,180.000000,2.552325
160.187787,180.000000,2.572756
160.307628,180.000000,2.593169
160.456716,180.000000,2.613593
160.634718,180.000000,2.634012
160.841412,180.000000,2.654432
161.076621,180.000000,2.674863
161.339829,180.000000,2.695289
161.630660,180.000000,2.715713
161.948781,180.000000,2.736141
162.293127,180.000000,2.756539
162.663401,180.000000,2.776923
163.060130,180.000000,2.797350
163.481986,180.000000,2.817779
163.928385,180.000000,2.838209
164.398295,180.000000,2.858626
164.891700,180.000000,2.879059
