AzInput,ElInput,Time
180.000110,180.000000,0.000000
187.691419,180.000000,0.020458
195.250926,180.000000,0.040903
202.565613,180.000000,0.061366
209.506463,180.000000,0.081826
215.958898,180.000000,0.102280
221.818432,180.000000,0.122735
226.989656,180.000000,0.143197
231.373086,180.000000,0.163596
234.918292,180.000000,0.184025
237.561205,180.000000,0.204467
239.254674,180.000000,0.224888
239.976945,180.000000,0.245588
239.695470,180.000000,0.266042
238.428955,180.000000,0.286501
236.198742,180.000000,0.306956
233.044939,180.000000,0.327392
229.003802,180.000000,0.347892
224.166579,180.000000,0.368330
218.598449,180.000000,0.388781
212.388507,180.000000,0.409248
205.647226,180.000000,0.429705
198.483474,180.000000,0.450160
191.014825,180.000000,0.470616
183.358518,180.000000,0.491087
175.673537,180.000000,0.511486
168.056320,180.000000,0.531895
160.621589,180.000000,0.552341
153.500910,180.000000,0.572804
146.815395,180.000000,0.593273
140.681698,180.000000,0.613730
135.196493,180.000000,0.634187
130.450477,180.000000,0.654645
126.520571,180.000000,0.675111
123.473296,180.000000,0.695581
121.359476,180.000000,0.716056
120.215369,180.000000,0.736511
120.057514,180.000000,0.756969
120.889383,180.000000,0.777437
122.694145,180.000000,0.797875
125.447243,180.000000,0.818342
129.100272,180.000000,0.838805
133.595094,180.000000,0.859273
138.863650,180.000000,0.879769
144.792634,180.000000,0.900196
151.312113,180.000000,0.920657
158.300985,180.000000,0.941107
165.650621,180.000000,0.961565
173.239507,180.000000,0.982029
180.939716,180.000000,1.002493
188.604271,180.000000,1.022902
196.140894,180.000000,1.043349
203.406609,180.000000,1.063782
210.272196,180.000000,1.084168
216.658577,180.000000,1.104611
222.445239,180.000000,1.125071
227.531949,180.000000,1.145532
231.833597,180.000000,1.165990
235.278520,180.000000,1.186439
237.813536,180.000000,1.206902
239.393601,180.000000,1.227353
239.994072,180.000000,1.247763
239.610591,180.000000,1.268143
238.246560,180.000000,1.288572
235.928335,180.000000,1.308970
232.685863,180.000000,1.329406
228.577794,180.000000,1.349834
223.668117,180.000000,1.370271
218.041888,180.000000,1.390699
211.789711,180.000000,1.411128
205.015810,180.000000,1.431553
197.822905,180.000000,1.451999
190.339568,180.000000,1.472436
182.686742,180.000000,1.492871
174.990673,180.000000,1.513303
167.381381,180.000000,1.533724
159.975554,180.000000,1.554156
152.896858,180.000000,1.574595
146.265182,180.000000,1.595031
140.190971,180.000000,1.615461
134.769526,180.000000,1.635901
130.104888,180.000000,1.656283
126.250972,180.000000,1.676704
123.279814,180.000000,1.697133
121.241163,180.000000,1.717572
120.170799,180.000000,1.737988
120.083979,180.000000,1.758422
120.983233,180.000000,1.778852
122.853076,180.000000,1.799278
125.664999,180.000000,1.819717
129.366832,180.000000,1.840131
133.904285,180.000000,1.860561
139.200804,180.000000,1.880993
145.167810,180.000000,1.901421
151.710867,180.000000,1.921859
158.705248,180.000000,1.942255
166.100424,180.000000,1.962792
173.684327,180.000000,1.983216
181.366280,180.000000,2.003624
189.027160,180.000000,2.024037
196.548729,180.000000,2.044473
203.794642,180.000000,2.064901
210.649689,180.000000,2.085331
216.996816,180.000000,2.105748
222.735529,180.000000,2.126164
227.773105,180.000000,2.146585
232.026966,180.000000,2.167015
235.425651,180.000000,2.187451
237.907905,180.000000,2.207848
239.439476,180.000000,2.228228
239.997848,180.000000,2.248652
239.569165,180.000000,2.269084
238.159641,180.000000,2.289521
235.796500,180.000000,2.309929
232.514204,180.000000,2.330353
228.367112,180.000000,2.350782
223.424413,180.000000,2.371211
217.766679,180.000000,2.391641
211.492686,180.000000,2.412055
204.702609,180.000000,2.432466
197.498445,180.000000,2.452899
190.006524,180.000000,2.473332
182.349787,180.000000,2.493765
174.671358,180.000000,2.514153
167.065578,180.000000,2.534581
159.673072,180.000000,2.555007
152.615739,180.000000,2.575431
146.018675,180.000000,2.595824
139.984409,180.000000,2.616195
134.592777,180.000000,2.636616
129.944906,180.000000,2.657050
126.121810,180.000000,2.677479
123.185703,180.000000,2.697904
121.183713,180.000000,2.718334
120.148695,180.000000,2.738793
120.101426,180.000000,2.759255
121.042870,180.000000,2.779717
122.958930,180.000000,2.800191
125.816251,180.000000,2.820657
129.569494,180.000000,2.841128
134.151619,180.000000,2.861582
139.491923,180.000000,2.882043
145.500613,180.000000,2.902503
152.078490,180.000000,2.922963
159.114715,180.000000,2.943416
166.497710,180.000000,2.963875
174.096540,180.000000,2.984315
181.796120,180.000000,3.004765
189.474511,180.000000,3.025238
196.993065,180.000000,3.045701
204.230066,180.000000,3.066161
211.065164,180.000000,3.086616
217.389822,180.000000,3.107076
223.094194,180.000000,3.127525
228.093906,180.000000,3.147999
232.290866,180.000000,3.168431
235.632408,180.000000,3.188899
238.053668,180.000000,3.209351
239.518521,180.000000,3.229824
239.999887,180.000000,3.250309
239.496325,180.000000,3.270637
238.017697,180.000000,3.291025
235.578930,180.000000,3.311479
232.218366,180.000000,3.331960
228.006986,180.000000,3.352385
222.999003,180.000000,3.372837
217.278475,180.000000,3.393301
210.953748,180.000000,3.413730
204.114457,180.000000,3.434174
196.868225,180.000000,3.454644
189.348566,180.000000,3.475101
181.679123,180.000000,3.495545
173.974194,180.000000,3.516011
166.370196,180.000000,3.536473
158.993801,180.000000,3.556927
151.958401,180.000000,3.577397
145.390282,180.000000,3.597855
139.390084,180.000000,3.618324
134.059799,180.000000,3.638796
129.492735,180.000000,3.659248
125.761950,180.000000,3.679679
122.923438,180.000000,3.700113
121.022627,180.000000,3.720574
120.095453,180.000000,3.741021
120.154927,180.000000,3.761440
121.200011,180.000000,3.781884
123.216253,180.000000,3.802347
126.169847,180.000000,3.822810
130.012509,180.000000,3.843275
134.674317,180.000000,3.863714
140.079061,180.000000,3.884141
146.148272,180.000000,3.904593
152.777510,180.000000,3.925050
159.854000,180.000000,3.945502
167.269602,180.000000,3.965973
174.892059,180.000000,3.986434
182.597413,180.000000,4.006892
190.259355,180.000000,4.027348
197.748467,180.000000,4.047794
204.929350,180.000000,4.068195
211.717570,180.000000,4.088646
217.990679,180.000000,4.109125
223.633074,180.000000,4.129594
228.549169,180.000000,4.150037
232.666667,180.000000,4.170487
235.913682,180.000000,4.190923
238.241997,180.000000,4.211378
239.608555,180.000000,4.231810
239.994234,180.000000,4.252206
239.392192,180.000000,4.272673
237.810020,180.000000,4.293133
235.274923,180.000000,4.313585
231.824043,180.000000,4.334060
227.522411,180.000000,4.354509
222.435357,180.000000,4.374966
216.661063,180.000000,4.395380
210.265647,180.000000,4.415852
203.380108,180.000000,4.436295
196.101916,180.000000,4.456758
188.559981,180.000000,4.477216
180.876743,180.000000,4.497674
173.177878,180.000000,4.518135
165.592539,180.000000,4.538594
158.247721,180.000000,4.559045
151.263516,180.000000,4.579490
144.750106,180.000000,4.599944
138.821025,180.000000,4.620387
