Azimuth,Elevator,Time
180.086365,179.988962,0.020402
180.029069,179.988962,0.040833
180.464517,179.988962,0.061260
181.616162,179.988962,0.081690
183.312117,179.988962,0.102110
185.563841,179.988962,0.122535
188.061937,179.988962,0.142922
190.462630,179.988962,0.163379
192.869053,179.988962,0.183839
195.286935,179.988962,0.204310
197.670439,179.988962,0.224773
200.088321,179.988962,0.245206
202.477555,179.988962,0.265628
204.883978,179.988962,0.286064
207.273212,179.988962,0.306516
209.668176,179.988962,0.326955
211.524559,179.988962,0.347416
212.825173,179.988962,0.367868
213.524182,179.988962,0.388326
213.730446,179.988962,0.408786
213.346565,179.988962,0.429251
212.315241,179.988962,0.449715
209.765578,179.988962,0.470177
207.404992,179.988962,0.490570
204.924085,179.988962,0.510956
202.523392,179.988962,0.531368
200.116969,179.988962,0.551830
197.710546,179.988962,0.572285
195.321312,179.988962,0.592739
192.909160,179.988962,0.613203
190.519926,179.988962,0.633676
188.107774,179.988962,0.654137
185.718540,179.988962,0.674597
183.312117,179.988962,0.695073
180.922883,179.988962,0.715515
178.527919,179.988962,0.735968
176.660077,179.988962,0.756429
175.365192,179.988962,0.776885
174.648995,179.988962,0.797334
174.459919,179.988962,0.817792
174.838071,179.988962,0.838238
175.863666,179.988962,0.858687
177.416381,179.988962,0.879150
179.513407,179.988962,0.899593
183.226173,179.988962,0.920053
185.649785,179.988962,0.940507
188.039019,179.988962,0.960965
190.456901,179.988962,0.981423
192.840405,179.988962,1.001866
195.258287,179.988962,1.022317
197.641791,179.988962,1.042775
200.042485,179.988962,1.063240
201.898868,179.988962,1.083692
203.205212,179.988962,1.104153
203.927138,179.988962,1.124610
204.167781,179.988962,1.145067
203.697955,179.988962,1.165532
202.683820,179.988962,1.185999
201.148293,179.988962,1.206452
199.051268,179.988962,1.226910
196.524524,179.988962,1.247359
194.141019,179.988962,1.267797
191.711678,179.988962,1.288253
189.316715,179.988962,1.308712
186.910292,179.988962,1.329123
184.515328,179.988962,1.349569
180.911424,179.988962,1.370035
178.505001,179.988962,1.390435
176.110037,179.988962,1.410820
173.720803,179.988962,1.431239
171.852961,179.988962,1.451672
170.563806,179.988962,1.472052
169.847609,179.988962,1.492481
169.675721,179.988962,1.512899
170.042414,179.988962,1.533328
171.073738,179.988962,1.553762
172.632184,179.988962,1.574188
174.734939,179.988962,1.594623
177.261683,179.988962,1.615054
179.645187,179.988962,1.635447
182.080258,179.988962,1.655873
