AzInput,ElInput,Time
180,180,4.39e-07
180.255,180,0.0202852
180.509,180,0.0405134
180.762,180,0.0607351
181.016,180,0.0809629
181.268,180,0.101191
181.52,180,0.121435
181.771,180,0.141664
182.02,180,0.161889
182.269,180,0.182117
182.515,180,0.20234
182.76,180,0.222561
183.004,180,0.242788
183.245,180,0.263014
183.485,180,0.283239
183.722,180,0.303466
183.956,180,0.32369
184.188,180,0.343907
184.418,180,0.364132
184.644,180,0.384358
184.868,180,0.404586
185.088,180,0.424812
185.306,180,0.445041
185.519,180,0.465267
185.73,180,0.485522
185.936,180,0.50575
186.139,180,0.525977
186.337,180,0.546198
186.532,180,0.566429
186.722,180,0.586656
186.908,180,0.606883
187.09,180,0.627111
187.267,180,0.647344
187.439,180,0.667571
187.606,180,0.687799
187.769,180,0.708026
187.927,180,0.728253
188.079,180,0.748483
188.226,180,0.768713
188.368,180,0.788941
188.504,180,0.809164
188.635,180,0.829407
188.761,180,0.849638
188.881,180,0.869865
188.995,180,0.890093
189.103,180,0.910322
189.205,180,0.930554
189.301,180,0.950781
189.392,180,0.971016
189.476,180,0.991243
189.554,180,1.01147
189.626,180,1.0317
189.692,180,1.05192
189.751,180,1.07215
189.804,180,1.09238
189.851,180,1.1126
189.892,180,1.13283
189.926,180,1.15306
189.954,180,1.17329
189.975,180,1.19351
189.99,180,1.21374
189.998,180,1.23398
190,180,1.25421
189.995,180,1.27445
189.984,180,1.29468
189.967,180,1.31491
189.943,180,1.33515
189.912,180,1.35538
189.876,180,1.37562
189.832,180,1.39585
189.783,180,1.41609
189.727,180,1.43633
189.665,180,1.45656
189.597,180,1.47682
189.522,180,1.49705
189.441,180,1.51729
189.354,180,1.53753
189.261,180,1.55777
189.162,180,1.57801
189.058,180,1.59824
188.947,180,1.61847
188.831,180,1.63871
188.708,180,1.65895
188.581,180,1.67918
188.447,180,1.69942
188.308,180,1.71966
188.164,180,1.73989
188.015,180,1.76012
187.86,180,1.78036
187.7,180,1.8006
187.536,180,1.82083
187.366,180,1.84107
187.192,180,1.86131
187.013,180,1.88154
186.829,180,1.90178
186.641,180,1.92202
186.449,180,1.94226
186.252,180,1.96249
186.052,180,1.98273
185.848,180,2.00297
185.639,180,2.0232
185.428,180,2.04345
185.212,180,2.06368
184.994,180,2.08392
184.772,180,2.10416
184.547,180,2.12441
184.319,180,2.14464
184.088,180,2.16488
183.855,180,2.18511
183.619,180,2.20535
183.38,180,2.2256
183.14,180,2.24583
182.897,180,2.26607
182.653,180,2.2863
182.407,180,2.30653
182.16,180,2.32677
181.911,180,2.34701
181.66,180,2.36725
181.409,180,2.38748
181.157,180,2.40772
180.904,180,2.42796
180.651,180,2.44819
180.397,180,2.46843
180.142,180,2.48867
179.888,180,2.5089
179.634,180,2.52914
179.38,180,2.54939
179.126,180,2.56963
178.873,180,2.58987
178.621,180,2.6101
178.369,180,2.63034
178.119,180,2.65058
177.87,180,2.67082
177.622,180,2.69106
177.376,180,2.71129
177.131,180,2.73154
176.889,180,2.75177
176.648,180,2.77204
176.409,180,2.79227
176.173,180,2.81251
175.939,180,2.83275
175.708,180,2.85298
175.48,180,2.87322
175.255,180,2.89346
175.032,180,2.9137
174.813,180,2.93394
174.598,180,2.95418
174.385,180,2.97441
174.177,180,2.99465
173.972,180,3.01488
173.771,180,3.03512
173.574,180,3.05536
173.381,180,3.0756
173.193,180,3.09584
173.009,180,3.11607
172.829,180,3.13631
172.654,180,3.15655
172.484,180,3.17678
172.319,180,3.19702
172.158,180,3.21725
172.003,180,3.23749
171.853,180,3.25772
171.708,180,3.27796
171.569,180,3.2982
171.435,180,3.31844
171.306,180,3.33868
171.184,180,3.35891
171.066,180,3.37915
170.955,180,3.39939
170.849,180,3.41963
170.75,180,3.43987
170.656,180,3.46011
170.569,180,3.48035
170.487,180,3.50059
170.412,180,3.52083
170.343,180,3.54106
170.28,180,3.5613
170.223,180,3.58153
170.173,180,3.60177
170.129,180,3.622
170.092,180,3.64225
170.06,180,3.66248
170.036,180,3.68272
170.017,180,3.70296
170.006,180,3.7232
170,180,3.74345
170.001,180,3.76369
170.009,180,3.78393
170.023,180,3.80417
170.044,180,3.82441
170.071,180,3.84465
170.104,180,3.86488
170.144,180,3.88512
170.19,180,3.90538
170.243,180,3.92562
170.301,180,3.94586
170.366,180,3.96609
170.438,180,3.98634
170.515,180,4.00657
170.599,180,4.02681
170.689,180,4.04705
170.784,180,4.06729
170.886,180,4.08753
170.994,180,4.10777
171.107,180,4.128
171.226,180,4.14825
