Azimuth,Elevator,Time
179.284224,179.988962,0.0202564
179.272765,179.988962,0.0404844
179.731131,179.988962,0.0607124
180.836939,179.988962,0.0809408
182.091717,179.988962,0.101171
183.340765,179.988962,0.121398
184.584083,179.988962,0.141626
185.833131,179.988962,0.161851
187.082179,179.988962,0.182079
188.336957,179.988962,0.202303
189.586005,179.988962,0.222529
190.835053,179.988962,0.242756
192.072642,179.988962,0.262981
193.310230,179.988962,0.28321
194.547819,179.988962,0.303438
195.791138,179.988962,0.32366
197.028727,179.988962,0.343889
198.266315,179.988962,0.364119
199.509634,179.988962,0.384346
200.151347,179.988962,0.404574
200.002378,179.988962,0.424801
199.841949,179.988962,0.445034
199.475256,179.988962,0.465262
198.993972,179.988962,0.485489
198.421014,179.988962,0.505717
197.716276,179.988962,0.525944
196.908405,179.988962,0.546171
195.968755,179.988962,0.566401
194.931701,179.988962,0.586626
193.802974,179.988962,0.606854
192.594033,179.988962,0.627098
191.356444,179.988962,0.647326
190.107396,179.988962,0.667553
188.864078,179.988962,0.687781
187.615030,179.988962,0.708011
186.377441,179.988962,0.728238
185.128393,179.988962,0.748467
183.879345,179.988962,0.768694
183.249092,179.988962,0.788922
180.762455,179.988962,0.809149
179.519136,179.988962,0.829375
178.264359,179.988962,0.849603
177.026770,179.988962,0.869828
175.777722,179.988962,0.890054
174.534404,179.988962,0.910253
173.279626,179.988962,0.930481
172.042037,179.988962,0.950709
170.798719,179.988962,0.970937
169.549671,179.988962,0.991164
168.300623,179.988962,1.01139
167.057304,179.988962,1.03162
165.819715,179.988962,1.05185
164.570667,179.988962,1.07207
163.327349,179.988962,1.09229
162.084031,179.988962,1.11252
160.840712,179.988962,1.13273
159.711985,179.988962,1.15295
160.416723,179.988962,1.17318
160.731850,179.988962,1.19341
161.350645,179.988962,1.21363
162.015276,179.988962,1.23386
162.800228,179.988962,1.25409
163.705501,179.988962,1.27432
164.708177,179.988962,1.29454
165.813986,179.988962,1.31477
167.005738,179.988962,1.335
168.249057,179.988962,1.35525
169.503834,179.988962,1.37547
170.764341,179.988962,1.39569
172.024848,179.988962,1.41592
173.279626,179.988962,1.43614
174.528674,179.988962,1.45636
175.789181,179.988962,1.47659
177.049688,179.988962,1.49682
178.298736,179.988962,1.51705
179.553514,179.988962,1.53727
180.814021,179.988962,1.5575
182.074528,179.988962,1.57772
183.323576,179.988962,1.59795
184.578354,179.988962,1.61817
185.833131,179.988962,1.6384
187.087909,179.988962,1.65863
188.342686,179.988962,1.67886
190.221988,179.988962,1.6991
191.482495,179.988962,1.71933
192.725814,179.988962,1.73956
193.980591,179.988962,1.75978
195.235369,179.988962,1.78001
196.490146,179.988962,1.80024
197.739194,179.988962,1.82046
198.982513,179.988962,1.84069
200.208642,179.988962,1.86092
199.664332,179.988962,1.88115
199.440879,179.988962,1.90137
198.827814,179.988962,1.9216
198.191831,179.988962,1.94183
197.441256,179.988962,1.96205
196.581820,179.988962,1.98228
195.607791,179.988962,2.0025
194.536360,179.988962,2.02272
193.361797,179.988962,2.04295
192.141397,179.988962,2.06315
190.892349,179.988962,2.08338
189.649030,179.988962,2.10361
188.394253,179.988962,2.12384
187.145205,179.988962,2.14406
185.896157,179.988962,2.16428
184.647109,179.988962,2.18451
183.392331,179.988962,2.20474
182.143283,179.988962,2.22496
180.894235,179.988962,2.24519
