AzInput,ElInput,Time
180,180,3.32e-07
180,180.509,0.0202803
180,181.016,0.0405108
180,181.521,0.0607369
180,182.02,0.0809425
180,182.515,0.101169
180,183.003,0.121371
180,183.484,0.141599
180,183.956,0.161841
180,184.418,0.18207
180,184.869,0.202325
180,185.305,0.222503
180,185.728,0.242666
180,186.137,0.26288
180,186.53,0.283103
180,186.906,0.303326
180,187.265,0.323559
180,187.605,0.343798
180,187.925,0.364032
180,188.225,0.384261
180,188.502,0.404427
180,188.759,0.424669
180,188.993,0.444923
180,189.204,0.465162
180,189.391,0.485421
180,189.554,0.505752
180,189.692,0.526003
180,189.805,0.546245
180,189.892,0.566445
180,189.954,0.586691
180,189.99,0.606915
180,190,0.627118
180,189.984,0.647377
180,189.943,0.667655
180,189.875,0.687912
180,189.782,0.708139
180,189.664,0.728407
180,189.521,0.748618
180,189.353,0.768875
180,189.161,0.789128
180,188.945,0.809378
180,188.706,0.829635
180,188.445,0.84989
180,188.161,0.870152
180,187.856,0.890421
180,187.531,0.91068
180,187.187,0.930915
180,186.825,0.951139
180,186.443,0.971422
180,186.047,0.99164
180,185.635,1.01184
180,185.208,1.03205
180,184.768,1.05223
180,184.316,1.07242
180,183.853,1.09263
180,183.378,1.11289
180,182.896,1.13311
180,182.405,1.15338
180,181.908,1.17363
180,181.406,1.19386
180,180.9,1.21413
180,180.393,1.23438
180,179.884,1.2546
180,179.375,1.27486
180,178.868,1.29512
180,178.365,1.31537
180,177.865,1.33561
180,177.371,1.35586
180,176.884,1.3761
180,176.405,1.39632
180,175.935,1.41657
180,175.475,1.43682
180,175.027,1.45707
180,174.592,1.47733
180,174.171,1.49758
180,173.765,1.51786
180,173.376,1.53807
180,173.004,1.55833
180,172.649,1.57858
180,172.314,1.59883
180,171.998,1.61908
180,171.704,1.63932
180,171.43,1.65956
180,171.179,1.6798
180,170.951,1.70004
180,170.746,1.72029
180,170.566,1.74053
180,170.409,1.76078
180,170.278,1.78103
180,170.171,1.80127
180,170.09,1.82151
180,170.035,1.84176
180,170.005,1.86202
180,170.002,1.88227
180,170.024,1.90252
180,170.072,1.92277
180,170.146,1.94302
