Azimuth,Elevator,Time
179.988962,179.020663,0.0202861
179.988962,179.037852,0.040515
179.988962,179.570703,0.0607478
179.988962,180.687970,0.0809637
179.988962,182.366737,0.101197
179.988962,184.607002,0.121427
179.988962,187.047802,0.14166
179.988962,189.448495,0.161895
179.988962,191.831999,0.182127
179.988962,194.186856,0.202358
179.988962,196.513065,0.222592
179.988962,198.759059,0.242842
179.988962,200.884733,0.263074
179.988962,202.872896,0.283297
179.988962,204.689172,0.303524
179.988962,206.316372,0.323773
179.988962,207.708660,0.344004
179.988962,208.843116,0.364237
179.988962,209.645257,0.384469
179.988962,210.097894,0.404703
179.988962,210.097894,0.424942
179.988962,209.736930,0.445199
179.988962,209.215539,0.465432
179.988962,208.608204,0.485663
179.988962,207.777415,0.505861
179.988962,206.809116,0.526107
179.988962,206.259077,0.546341
179.988962,204.293831,0.566574
179.988962,202.867167,0.586806
179.988962,201.268614,0.607039
179.988962,199.521093,0.627272
179.988962,197.658980,0.647503
179.988962,195.665087,0.667749
179.988962,193.550873,0.687982
179.988962,191.350715,0.708219
179.988962,189.047425,0.728451
179.988962,186.692568,0.748686
179.988962,184.309064,0.768921
179.988962,181.908370,0.78912
179.988962,179.507677,0.809349
179.988962,177.106984,0.829582
179.988962,174.706291,0.84977
179.988962,172.305598,0.870014
179.988962,169.904905,0.89025
179.988962,167.509941,0.910486
179.988962,165.109248,0.930719
179.988962,162.714284,0.950951
179.988962,160.382346,0.971184
179.988962,158.182188,0.991365
179.988962,156.182565,1.0116
179.988962,154.400667,1.03185
179.988962,152.842221,1.05208
179.988962,151.570255,1.07229
179.988962,150.000351,1.09249
179.988962,150.000351,1.1127
179.988962,149.776897,1.13287
179.988962,150.258182,1.15308
179.988962,150.452987,1.17331
179.988962,151.203562,1.19355
179.988962,151.902571,1.21376
179.988962,152.842221,1.23399
179.988962,153.953760,1.25422
179.988962,155.185619,1.27444
179.988962,156.595095,1.29467
179.988962,158.153540,1.3149
179.988962,159.860954,1.33513
179.988962,161.688690,1.35531
179.988962,163.659665,1.37554
179.988962,165.728042,1.39577
179.988962,167.911011,1.416
179.988962,170.179924,1.4362
179.988962,172.529051,1.45645
179.988962,175.863666,1.47668
179.988962,178.138308,1.49692
179.988962,180.458787,1.51711
179.988962,182.848021,1.53737
179.988962,185.237255,1.55761
179.988962,187.655137,1.57784
179.988962,190.044371,1.59802
179.988962,192.445064,1.61825
179.988962,194.817110,1.63849
179.988962,197.160507,1.65872
179.988962,199.400772,1.67893
179.988962,201.532175,1.69917
179.988962,203.480231,1.7194
179.988962,205.256401,1.73965
179.988962,206.820575,1.75987
179.988962,208.121190,1.7801
179.988962,209.163973,1.80034
179.988962,209.862981,1.82058
179.988962,210.143731,1.84082
179.988962,210.011950,1.86105
179.988962,209.576502,1.88128
179.988962,208.992085,1.90148
179.988962,208.310266,1.92169
179.988962,207.439370,1.94192
179.988962,206.396587,1.96211
179.988962,205.193375,1.98235
179.988962,203.841195,2.00259
179.988962,202.340045,2.02281
179.988962,200.689927,2.04299
